Cast,Country,Date Added,Description,Director,Duration,Listed In,Rating,Release Year,Show Id,Title,Type
"Sanjay Dutt, Riteish Deshmukh, Arshad Warsi, Aashish Chaudhary, Javed Jaffrey, Prem Chopra, Asrani, Tiku Talsania",India,12/31/2019,"Tipped off about buried money in Goa, four ne’er-do-well friends go on the hunt, chased by a police officer who wants the treasure for himself.",Indra Kumar,128 min,"Action & Adventure, Comedies, International Movies",TV-14,2007,81213888,Dhamaal,Movie
"Siddharth Koirala, Nauheed Cyrusi, Manisha Koirala, Rajpal Yadav, Yashpal Sharma, Vijay Raaz, Hiten Tejwani, Sudhir Pandey, Sanjay Mishra, Lalit Tiwari",India,12/31/2019,"Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy.",Manish Jha,134 min,"Dramas, Independent Movies, International Movies",TV-14,2007,70064205,Anwar,Movie
"Abhishek Bachchan, Mithun Chakraborty, Aishwarya Rai Bachchan, Madhavan, Vidya Balan, Roshan Seth, Arya Babbar, Sachin Khedekar, Dhritiman Chatterjee, Manoj Joshi",India,3/1/2018,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.,Mani Ratnam,155 min,"Dramas, International Movies",TV-14,2007,70063017,Guru,Movie
"John Abraham, Bipasha Basu, Arshad Warsi, Shernaz Patel, Boman Irani, Dibyendu Bhattacharya, Gilbert Montoya, Dalip Tahil, Rajendranath Zutshi","United Kingdom, India",11/1/2018,"In a last-ditch effort, the jaded coach of the Southall United Football Club assembles a ragtag team and helps lead the team to a comeback season.",Vivek Agnihotri,157 min,"Dramas, Music & Musicals, Sports Movies",TV-14,2007,70084775,Dhan Dhana Dhan Goal,Movie
"Shah Rukh Khan, Deepika Padukone, Shreyas Talpade, Arjun Rampal, Kirron Kher, Javed Sheikh",India,4/1/2018,"Reincarnated 30 years after being killed in a suspicious on-set fire, a small-time actor is determined to punish the person who ignited the blaze.",Farah Khan,169 min,"Comedies, Dramas, International Movies",TV-14,2007,70083535,Om Shanti Om,Movie
"Nattanun Jantarawetch, David Bueno, Peerawat Herabat, Andrew Koji, Nahatai Lekbumrung, Lex Luther, Tim Man, Micky Nowacki, Sura Sankum, Amornrit Sriphung",Thailand,7/26/2018,"When profit-seekers threaten to take over a bar in a tourist town, local martial artists put their skills to the test and fight back.",Piti Jaturaphat,82 min,"Action & Adventure, International Movies",TV-14,2007,80999986,Pahuyut Fighting Beat,Movie
"Helge Schneider, Ulrich Mühe, Sylvester Groth, Adriana Altaras, Stefan Kurt, Ulrich Noethen, Lambert Hamel, Udo Kroschwald, Torsten Michaelis, Axel Werner",Germany,5/7/2018,Germany's most celebrated actor is commissioned by Nazi propagandist Joseph Goebbels to prepare the leader of the Third Reich to deliver a speech.,Dani Levy,91 min,"Comedies, International Movies",TV-14,2007,70118125,My Fuhrer,Movie
,,11/1/2019,"While carrying out prison sentences, five notorious thieves in Mexico City share their principles, preferred methods and respect for the craft.",Everardo González,97 min,"Documentaries, International Movies",TV-14,2007,81170692,The Old Thieves: The Legend of Artegios,Movie
"Randeep Hooda, Nandana Sen, Jim Boeven, Paresh Rawal, Tom Alter, Vikram Gokhale, Vipin Sharma, Gaurav Dwivedi",India,5/25/2018,"Seeking inspiration, a young 19th-century painter finds a woman who is his love, his muse and his willing subject, but his work becomes controversial.",Ketan Mehta,114 min,"Dramas, International Movies",TV-14,2008,80084666,Colours of Passion,Movie
"Mallika Sherawat, Ranvir Shorey, Tinnu Anand, Sushmita Mukherjee, Manish Anand, Vihang Nayak, Bharati Achrekar, Zeenat Aman",India,2/15/2019,"Everyday guy Kabir is thrown for a loop when he meets Kuhu, a freewheeling party girl. Now, he's a changed man, dancing, running half-naked through the streets and donning ladies' shoes at her whim.",Sachin Kamlakar Khot,115 min,"Comedies, International Movies, Romantic Movies",TV-14,2008,70109378,Ugly Aur Pagli,Movie
"Abhay Deol, Paresh Rawal, Neetu Chandra, Archana Puran Singh, Manu Rishi Chadha, Richa Chadda, Anurag Arora, Rajender Sethi, Manjot Singh, Chandan Anand",India,11/1/2018,"Starting as a petty thief, a man rises to become one of the city's biggest operators and carves out the kind of lifestyle he'd once only dreamed of.",Dibakar Banerjee,118 min,"Comedies, Dramas, International Movies",TV-14,2008,70109758,Oye Lucky! Lucky Oye!,Movie
"Shreyas Talpade, Subodh Bhave, Sai Tamhankar, Santosh Juvekar, Tushar Dalvi, Bharti Aacharekar",India,1/1/2018,"In an effort to honor the family matriarch's dying wish, Urmila and her husband, Shrikant, embark on a quest to find a husband for charismatic yet choosey Sai. But some things are easier said than done.",Rajeev Patil,122 min,"Comedies, Dramas, International Movies",TV-14,2008,70116578,Sanai Choughade,Movie
"Fedi Nuril, Rianti Cartwright, Carissa Putri, Melanie Putria, Zaskia Adya Mecca, Surya Saputra, Dennis Adhiswara, Oka Antara",Indonesia,3/27/2019,"Polygamy, piety and personal principles collide for a charming and congenial young university student struggling in a four-way love triangle.",Hanung Bramantyo,126 min,"Dramas, International Movies, Romantic Movies",TV-14,2008,81047897,Verses of Love,Movie
"Mahesh Bhatt, Mithun Chakraborty, G.K. Desai, Celina Jaitly, Karan Johar, Ekta Kapoor, Tusshar Kapoor, Anupam Kher, Ashok Pandit, Lalit Parashar, Raima Sen, Rajpal Yadav",India,5/31/2019,"To blow off some steam, friends Akshay, Joshi and Lambodar, posing as a gang called C Kkompany, make a phony extortion demand to Joshi's apathetic son. The trio is shocked when their prank call makes them anonymous celebrities.",Sachin Yardi,127 min,"Action & Adventure, Comedies, International Movies",TV-14,2008,70109249,C Kkompany,Movie
"Sanjay Dutt, Arjun Rampal, Malaika Arora, Aashish Chaudhary, Neha Uberoi, Urmila Matondkar, Manoj Joshi, Daya Shanker Pandey, Pushkar Jog, Kulbhushan Kharbanda",India,5/15/2019,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,Saurabh Kabra,128 min,"Comedies, Dramas, International Movies",TV-14,2008,70111279,EMI: Liya Hai To Chukana Padega,Movie
"Sharon Cuneta, John Estrada, John Manalo, Rica Peralejo, Jhong Hilario, Saul Reichlin, Matthew Rutherford, Claire Jeater, Makisig Morales, Mickey Ferriols",Philippines,3/5/2019,"Sarah leaves her son in the Philippines to reunite with her husband in London, where she struggles personally and professionally as a care-home worker.",Chito S. Roño,131 min,"Dramas, International Movies",TV-14,2008,70110919,Caregiver,Movie
"Rahul Bose, Javed Jaffrey, Minissha Lamba, Seema Biswas, Deepak Dobriyal, Kay Kay Menon, Amrita Rao, Rosa Catalano, Subrat Dutta, Priyesh Kaushik",India,3/1/2018,Courtroom intrigue plays out against a backdrop of military secrets in this Bollywood drama with a plot that's reminiscent of A Few Good Men.,Samar Khan,135 min,"Dramas, International Movies",TV-14,2008,70099702,Shaurya: It Takes Courage to Make Right... Right,Movie
"Farhan Akhtar, Arjun Rampal, Purab Kohli, Luke Kenny, Prachi Desai, Shahana Goswami, Koel Purie",India,12/15/2019,"Four friends hoped that their rock band would be a hit. After breaking up, the band members reunite and take another shot at fulfilling their dream.",Abhishek Kapoor,139 min,"Dramas, International Movies, Music & Musicals",TV-14,2008,70110883,Rock On!!,Movie
Arthur Shawcross,United States,8/1/2016,"In this jailhouse interview, Arthur Shawcross, the Genesee River Killer, shares candid details of his crimes and his surprising family bonds.",Christopher Martin,45 min,Documentaries,TV-14,2008,80108996,Interview with a Serial Killer,Movie
Forbes KB,United Kingdom,8/1/2016,"In an attempted heist worthy of a Hollywood film, a cadre of criminals sets out to steal the world's largest perfect diamond from a London landmark.",Tom Whitter,46 min,Documentaries,TV-14,2008,80109248,Real Crime: Diamond Geezers,Movie
Mike Birbiglia,United States,11/22/2019,Mike Birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.,,56 min,Stand-Up Comedy,TV-14,2008,70091304,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,Movie
"Herjunot Ali, Winky Wiryawan, Erly Ashy, Laura Basuki, Tarzan, Aida Nurmala, Otto Djauhari, Indra Herlambang",Indonesia,12/8/2018,"After losing a World Cup bet, two hapless buddies must use their wits to pay off their debt to a big Jakarta bookie in this action-packed comedy.","Agasyah Karim, Khalid Kashogi",75 min,"Comedies, Dramas, International Movies",TV-14,2008,81033201,Because of Soccer,Movie
"Apisit Opasaimlikit, Suthep Po-ngam, Phichet Iamchaonaa, Note Chern-Yim",Thailand,7/30/2018,"Former rap musician Joey Boy is now a monk who takes Father Teng's place at his rural temple, where a crisis develops involving a nearby stone quarry.",Note Chern-Yim,92 min,"Comedies, Faith & Spirituality, International Movies",TV-14,2008,80999990,Holy Man 2,Movie
"Purav Bhandare, Anupam Kher, Rahul Bose, Victor Banerjee, Ankush Dubey, Rasika Dugal, Rahul Khanna, Sana Shaikh, Dheirya Sonecha, Fatima Sana Shaikh, Sarika",India,7/15/2018,"After his family's donkey is confiscated by a moneylender, 8-year-old Tahaan travels across conflict-torn Kashmir to find his beloved pet.",Santosh Sivan,95 min,"Dramas, International Movies",TV-14,2008,70171835,Tahaan,Movie
"Rajeev Khandelwal, Gajraj Rao, Shashanka Ghosh, Jhilmil Hazrika, Gazala Amin, Allauddin Khan",India,11/1/2018,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order.",Raj Kumar Gupta,95 min,"International Movies, Thrillers",TV-14,2008,70100644,Aamir,Movie
"Shreyas Talpade, Javed Jaffrey, Aashish Chaudhary, Vatsal Seth, Celina Jaitly, Johnny Lever, Delnaaz Paul, Riya Sen, Sayali Bhagat, Neha Dhupia",India,7/1/2018,"Desperate for a place to live, twentysomething bachelors Parikshit, Jayesh, Parag and Bhavesh finally locate a house to rent, only to learn that the landlords will consider married applicants only.",Paritosh Painter,114 min,"Comedies, International Movies",TV-14,2009,70125939,Paying Guests,Movie
"Santosh Juvekar, Siddharth Chandekar, Sachit Patil, Chinmay Mandlekar, Rajesh Shringarpure, Pushkar Shrotri, Tejashree Pradhan, Neha Joshi",India,2/15/2018,A change in the leadership of a political party sparks bitter conflict and the party's division into two rival factions.,Avadhoot Gupte,120 min,"Dramas, International Movies",TV-14,2009,80201817,Zenda,Movie
"Shahid Kapoor, Genelia D'Souza, Mohnish Bahl, Satish Shah, Parikshat Sahni, Vikas Bhalla, Kurush Deboo, Zain Khan",India,11/1/2018,"Having risen from humble beginnings, an ambitious young man sets his sights on winning a major dance competition that could catapult him to fame.",Ken Ghosh,121 min,"Comedies, Dramas, International Movies",TV-14,2009,70123120,Chance Pe Dance,Movie
"Paresh Rawal, Kunal Khemu, Sonu Sood, Soha Ali Khan, Johnny Lever, Dilip Joshi, Asrani, Malay Chakrabarty, Razak Khan, Hrishitaa Bhatt",India,11/1/2018,"An accountant and a producer hatch a scheme to finance a movie, while making every effort to ensure that it flops so they may pocket the difference.",Umesh Shukla,124 min,"Comedies, International Movies, Music & Musicals",TV-14,2009,70114588,Dhoondte Reh Jaoge,Movie
"Neil Nitin Mukesh, Manoj Bajpayee, Mugdha Godse, Arya Babbar, Chetan Pandit, Rahul Singh, Navni Parihar, Manish Mehta",India,12/31/2019,"Incarcerated for a crime he didn’t commit, a young man must navigate the crowded, cut-throat environment of prison as he awaits trial.",Madhur Bhandarkar,132 min,"Dramas, International Movies",TV-14,2009,70129075,Jail,Movie
"Sachin Khedekar, Mahesh Manjrekar, Makarand Anaspure, Suchitra Bandekar, Siddharth Jadhav, Priya Bapat, Abhijit Kelkar, Ganesh Yadav, Reema Lagoo, Vidyadhar Joshi",India,1/1/2018,"After a disgruntled man blames his Marathi heritage for his lack of his success, he is visited by Shivaji, a great medieval Marathi king.",Santosh Manjrekar,148 min,"Comedies, International Movies, Sci-Fi & Fantasy",TV-14,2009,70128225,Mi Shivajiraje Bhosale Boltoy,Movie
"Farhan Akhtar, Konkona Sen Sharma, Rishi Kapoor, Dimple Kapadia, Isha Sharvani, Sanjay Kapoor, Juhi Chawla, Hrithik Roshan, Alyy Khan, Sheeba Chaddha",India,12/15/2019,"When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend.",Zoya Akhtar,156 min,"Dramas, International Movies, Romantic Movies",TV-14,2009,70114467,Luck by Chance,Movie
"Corey Feldman, Tony Todd, Tara Leigh, Erin Way, Mark Alan, Stuart Pankin",United States,11/18/2009,"After committing suicide, a washed-up rocker returns from the grave to torment the five people who betrayed him in life.",Joe Dante,29 min,Horror Movies,TV-14,2009,70127998,Splatter,Movie
"Jan Lewan, Greg Korin",United States,1/12/2018,This irreverent documentary reveals how charming entertainer Jan Lewan bilked investors out of millions in a complicated investment scam.,"John Mikulak, Joshua Brown",68 min,"Documentaries, Music & Musicals",TV-14,2009,70120182,The Man Who Would Be Polka King,Movie
"Kohtee Aramboy, Sudarat Butrprom, Yingsak Chonglertjetsadawong, Channarong Khuntee-tao, Jaturong Mokjok, Waraphat Phatsathit, Apinya Sakuljaroensuk, Wiradit Srimalai, Ekkachai Srivichai",Thailand,7/25/2018,"A group of friends encounters a folk spirit in their apartment, and their harebrained attempts to banish the ghost soon backfire.",Poj Arnon,94 min,"Comedies, Horror Movies, International Movies",TV-14,2009,81000015,Oh My Ghost,Movie
"Naseeruddin Shah, Arjun Mathur, Vijay Raaz, Tannishtha Chatterjee, Violante Placido, Benjamin Gilani",India,12/31/2019,"After futile attempts to better their lives with honest work, three broke friends opt for a more dubious means of making money: kidnapping for ransom.",Raja Menon,95 min,"Dramas, International Movies",TV-14,2009,80083672,Barah Aana,Movie
"Louis Koo, Sandra Ng Kwan Yue, Raymond Wong, Ronald Cheng, Yao Chen, Guo Tao, Heung Kam Lee, Chun Chau Ha, Miki Shum",Hong Kong,11/9/2018,"Bound by a family rule that forbids him from marrying until his stubborn sister gets hitched, a bachelor enlists the help of a love guru to woo her.",Vincent Kok,99 min,"Comedies, International Movies, Romantic Movies",TV-14,2009,81029831,"All's Well, End's Well (2009)",Movie
"Sonali Kulkarni, Girish Kulkarni, Jyoti Subhash, Veena Jamkar, Aman Attar",India,1/1/2018,"An optimistic farmer is determined to succeed in spite of the lack of rain in his region, and the sinking spirits around him.",Satish Manwar,99 min,"Dramas, International Movies",TV-14,2009,80201813,The Damned Rain,Movie
"Krissada Sukosol, Natee Aekwijit, Yoakyake Chernyim, Der Doksadao, Note Chern-Yim, Kohtee Aramboy, Chaleumpol Tikumpornteerawong",Thailand,7/30/2018,"Two new monks, one of them a former rock music star seeking inner peace, join a temple plagued by thieves who are stealing its valuable holy relics.",Note Chern-Yim,102 min,"Comedies, Faith & Spirituality, International Movies",TV-14,2010,80999991,Holy Man 3,Movie
"Aamir Khan, Monica Dogra, Kriti Malhotra, Prateik Babbar, Aasha Pawar, Jyoti Pawar, Norma Lobo, Kitu Gidwani, Danish Hussain, Jehan Manekshaw",India,12/8/2017,"In this intimate drama, circumstances draw together four people from different castes – which would normally preclude them from forming friendships.",Kiran Rao,102 min,"Dramas, International Movies",TV-14,2010,70144331,Dhobi Ghat (Mumbai Diaries),Movie
Suman Mukhopadhyay,India,3/15/2018,"In post-Partition Kolkata, a young Bengali poet from an urban colony wanders the city in search of the woman he loves and a channel for his sorrows.","Arjun Gourisaria, Moinak Biswas",106 min,"Dramas, International Movies",TV-14,2010,80239738,Sthaniya Sambaad,Movie
,Canada,2/15/2017,"Celebrate the remarkable 40-year career of influential Canadian rockers Rush with this documentary, which details the band's formation and evolution.","Sam Dunn, Scot McFadyen",107 min,"Documentaries, Music & Musicals",TV-14,2010,70137744,Rush: Beyond the Lighted Stage,Movie
"Amr Abdel-Geleel, Rania Yousef, Salloum Haddad, Hesham Al-Meligy, Farida Al-Gready, Ahmad Wafiq, Mohamed Abo El Hassan, Amr Sakr, Ahmed Gamal Saeed, Riham Ayman",Egypt,6/13/2019,"Released after being wrongly imprisoned in Iraq, an Egyptian contractor returns home to a country on the brink of revolution.",Sameh Abdulaziz,108 min,"Comedies, Dramas, International Movies",TV-14,2010,81035874,The Ant's Scream,Movie
"Omkar Das Manikpuri, Raghuvir Yadav, Malaika Shenoy, Nawazuddin Siddiqui, Naseeruddin Shah, Sitaram Panchal, Shalini Vatsa, Farrukh Jaffar, Aamir Bashir, Vishal Om Prakash",India,12/8/2017,Two indigent farmers consider suicide so that their families can collect a government subsidy that's paid to the relatives of deceased farmers.,"Anusha Rizvi, Mahmood Farooqui",109 min,"Comedies, Dramas, Independent Movies",TV-14,2010,70129396,Peepli Live,Movie
"Ahmed Helmy, Zeina, Shery Adel, Emy Samir Ghanim, Yousef Fawzy, Yasser El Tobgy, Wael Sami, Maryam Saleh",Egypt,6/20/2019,A man suffering from amnesia can't seem to choose between the women playing tricks on him.,Khaled Marei,112 min,"Comedies, International Movies, Romantic Movies",TV-14,2010,81035877,Bewildered Bolbol,Movie
"Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor, Nafisa Ali, Monikangana Dutta, Suhel Seth, Rajit Kapoor, Ash Chandler, Vijay Crishna",India,8/2/2018,"After an onstage disaster leaves an illusionist paralyzed, he channels his magic into a hit radio show. Years later, he fights for the right to die.",Sanjay Leela Bhansali,121 min,"Dramas, International Movies",TV-14,2010,70139074,Guzaarish,Movie
"Bhargavi Chirmuley, Mahesh Kothare, Sachin, Ashok Saraf, Nirmiti Sawant",India,1/1/2018,"After an actor is hit by a car driven by the police commissioner's sister, his scheming brother-in-law files a bogus suit against the commissioner.",Sachin,124 min,"Comedies, International Movies, Romantic Movies",TV-14,2010,80201809,Ideachi Kalpana,Movie
"Arya Babbar, Kanwaljeet Singh, Gulshan Grover, Mehreen Raheel, Aparna Sharma, Aman Dhaliwal, Noman Ijaz","India, Pakistan",1/30/2019,A man is disheartened when he visits his well-to-do son and grandkids in Australia and sees they have detached from their traditional Indian morals.,Pankaj Batra,127 min,"Dramas, International Movies, Music & Musicals",TV-14,2010,81024718,Virsa,Movie
"Imran Khan, Sonam Kapoor, Sammir Dattani, Samir Soni, Kavin Dave, Bruna Abdullah",India,8/2/2018,This Bollywood spoof recounts the ups and downs of an assistant film director who loathes romance and a designer who adores all things sentimental.,Punit Malhotra,128 min,"Comedies, International Movies, Music & Musicals",TV-14,2010,70139071,I Hate Luv Storys,Movie
Nagesh Bhonsle,India,3/15/2018,"After her fat-shaming husband brings home a new lover, a wife in Maharashtra recruits a group of women to challenge him in a kabaddi match.",Aatmaram Dharne,129 min,"Comedies, Dramas, International Movies",TV-14,2010,80238299,Chal Dhar Pakad,Movie
"Vivek Oberoi, Aruna Shields, Nandana Sen, Niroo Singh, Sanjay Kapoor, Rajesh Khattar, Dalip Tahil, Mayur Puri, Manish Ananad",India,4/1/2018,"A thief commits the heist of his life, only to awaken the next morning with no memory. Now, he must race to find the missing loot.",Kookie V. Gulati,130 min,"Action & Adventure, International Movies",TV-14,2010,70134539,Prince,Movie
"Sanjay Narvekar, Bharat Jadhav, Satish Phulekar, Ashwini Apte",India,1/1/2018,A municipal clerk with literary ambitions stalks a loan recovery officer on whom he has decided to base his story's central character.,Uttung Shelar,133 min,"Comedies, Dramas, International Movies",TV-14,2010,80202086,Aata Pita,Movie
"Farhan Akhtar, Deepika Padukone, Ram Kapoor, Vivan Bhatena, Vipin Sharma, Yatin Karyekar, Shefali Shah",India,12/15/2019,"Unlucky in love and bullied at work, an office drone is resigned to his dead-end life until it’s transformed by mysterious calls from … himself.",Vijay Lalwani,135 min,"Dramas, International Movies, Thrillers",TV-14,2010,70134537,Karthik Calling Karthik,Movie
"Paresh Rawal, Om Puri, Pavan Malhotra, Javed Sheikh, Swati Chitnis, Masood Akhtar, Sudhir Nema, Rakesh Srivastava",India,12/31/2019,"As communal violence erupts in his neighborhood, a Muslim mechanic presses forward to repair a historic truck that will transport Gandhi’s last remains.",Amit Rai,136 min,"Dramas, Independent Movies, International Movies",TV-14,2010,81217436,Road to Sangam,Movie
"Smita Jaykar, Siddarth Jadhav",India,3/15/2018,"Bored in their happy marriage, a couple decides to spice things up by fighting more, but their game takes the relationship on an unexpected path.",Kedar Shinde,137 min,"Comedies, Dramas, International Movies",TV-14,2010,80235957,Irada Pakka,Movie
"Makarand Anaspure, Madhura Velankar, Subodh Bhave",India,3/15/2018,The son of an astrologer faces opposition from his superstitious father regarding his scheme of launching a mango business.,,138 min,"Comedies, Dramas, International Movies",TV-14,2010,80201604,Haapus,Movie
,United Kingdom,8/15/2016,"In 2000, U.K. detectives spent months tracking a criminal known only as Sally, who was targeting a supermarket chain with extortion and letter bombs.",,46 min,Documentaries,TV-14,2010,80108998,Real Crime: Supermarket Heist (Tesco Bomber),Movie
,United States,5/15/2017,A Viennese child who was kidnapped and held captive in a basement before escaping after eight years reveals her headline-making story of survival.,Alina Teodorescu,51 min,Movies,TV-14,2010,80059342,Natascha Kampusch: The Whole Story,Movie
Stuart Varnam-Atkin,"Japan, United States",12/31/2017,"This documentary reenacts the experiences of late activist Tsutomu Yamaguchi, a survivor of both atomic bombings on Japan in 1945.",Hidetaka Inazuka,53 min,"Documentaries, International Movies",TV-14,2010,80208212,Twice,Movie
"Gurpreet Guggi, Rocky Bhardwaj, Brijesh Ahuja, Gick Grewal, Inderjit Grewal, Lekhraj Thakur",,1/30/2019,"The tale of legendary warrior king Ranjit Singh, and his rise to establishing Punjab’s Sikh empire, comes to life in this animated feature.",Amarjit Virdi,56 min,"Dramas, International Movies",TV-14,2010,81035398,Maharaja: The Story of Ranjit Singh,Movie
"Purab Kohli, Arjan Bajwa, Mrinalini Sharma, Sameer Kochhar, Ayaz Khan, Amruta Patki, Pavail Gulati, Prashant, Amol Mhatre",India,3/1/2018,"Years after an accident at a wild Christmas party traumatized them all, six former friends find themselves trapped in a shopping mall and forced by a killer disguised as Santa Claus to play a lethal game of hide-and-seek.",Shawn Arranha,96 min,"Horror Movies, International Movies, Thrillers",TV-14,2010,70138498,Hide & Seek,Movie
"Anne Curtis, Derek Ramsay, Cristine Reyes, Tirso Cruz III, Carmi Martin, John Arcilla, Marlann Flores, Ron Morales, Kat Alano",Philippines,3/4/2019,"A happily married man gives in to temptation when a wealthy client pursues him, setting off a torrid love triangle.",Ruel S. Bayani,103 min,"Dramas, International Movies, Romantic Movies",TV-14,2011,81010871,No Other Woman,Movie
"Madhavan, Kangana Ranaut, Jimmy Shergill, Deepak Dobriyal, Swara Bhaskar, Eijaz Khan, K.K. Raina, Rajendra Gupta, Ravi Kishan, Navni Parihar",India,5/1/2017,"When London-based doctor Manu reluctantly returns to India to find a bride, he meets the girl of his dreams – only to discover she loves another man.",Aanand Rai,114 min,"Comedies, Dramas, International Movies",TV-14,2011,70176968,Tanu Weds Manu,Movie
"Khaled Saleh, Ghada Adel, Ahmed el-Sakka, Khaled Sarhan, Sawsan Badr, Mustafa Haridi",Egypt,4/25/2019,A notorious forger known for his ability to create fake passports and visas finds himself the target of a con man's ruse.,Amr Arafa,114 min,"Comedies, International Movies, Thrillers",TV-14,2011,81035878,The Consul's Son,Movie
"Bharat Jadhav, Ankush Chaudhari, Siddarth Jadhav, Santosh Juvekar, Vaibhav Mangale, Kranti Redkar, Manava Naik",India,1/1/2018,"At large in the city, five inmates of a mental asylum run up against the insanity of the outside world while trying to prevent a terrorist plot.",Sudesh Manjrekar,115 min,"Comedies, International Movies",TV-14,2011,80202908,Shahanpan Dega Deva,Movie
"Amitabh Bachchan, Hema Malini, Raveena Tandon, Sonu Sood, Sonal Chauhan, Charmy Kaur, Prakash Raj, Makrand Deshpande, Subbaraju, Shawar Ali, Rajeev Verma",India,5/10/2017,"A cooly confident aging hit man returns from exile in Paris to his old city, Mumbai, to revisit his past and perform one last job.",Puri Jagannadh,116 min,"Action & Adventure, Comedies, Dramas",TV-14,2011,70204288,Bbuddah Hoga Terra Baap,Movie
"Santosh Juvekar, Chinmay Mandlekar, Pari Telang, S. Joshi, Dilip Prabhavalkar, Ganesh Yadav, Pushkar Shrotri",India,2/15/2018,Two communities in Mumbai get a final chance to compete with each other in the celebration of the iconic Ganesh Chaturthi festival.,Avadhoot Gupte,121 min,"Dramas, International Movies",TV-14,2011,80201605,Morya,Movie
"Qi Shu, Liu Ye, Anthony Wong Chau-Sang, Liang Tian, Danying Feng, Rina Sa, Zhang Songwen, Tian Gao, Andrew Lin","China, Hong Kong",12/1/2018,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",Andrew Lau Wai-Keung,122 min,"Dramas, International Movies, Romantic Movies",TV-14,2011,70216819,A Beautiful Life,Movie
"Ghadah Abdulrazeq, Wafaa Amer, Hassan El Raddad, Houria Farghally, Sabry Fawwaz",Egypt,4/26/2019,"To fulfill her husband’s dream to build a home, a widow sends her five children to earn money in Cairo, where their poverty tests them at every turn.",Khaled Youssef,125 min,"Dramas, International Movies",TV-14,2011,81035872,Amar's Hands,Movie
"Akshay Kumar, Bobby Deol, Sonam Kapoor, Irrfan Khan, Sunil Shetty, Rimi Sen, Celina Jaitly",India,8/2/2018,Three cheating husbands end up paying the price for their infidelities when their spouses hire a private detective – who falls for one of the wives.,Anees Bazmee,131 min,"Comedies, International Movies, Romantic Movies",TV-14,2011,70187503,Thank You,Movie
"Harbhajan Mann, Tulip Joshi, Kabir Bedi, Gulzar Chahal, Jonita, Gurpreet Ghuggi, Gurpreet Grewal, Neena Cheema, Sunita Dhir",India,11/1/2017,The patriarch of a wealthy family with one industrious son and one who's a playboy arranges for the marriage of one to the woman the other loves.,Ksshitij Chaudhary,132 min,"Dramas, International Movies, Music & Musicals",TV-14,2011,80211371,Yaara O Dildaara,Movie
"Shah Rukh Khan, Priyanka Chopra, Boman Irani, Lara Dutta, Kunal Kapoor, Om Puri, Alyy Khan, Nawab Shah","India, Germany",12/15/2019,"With Asia under his complete control, criminal mastermind Don turns to Europe, battling the mob bosses of each nation along the way.",Farhan Akhtar,148 min,"Action & Adventure, International Movies, Music & Musicals",TV-14,2011,70224999,Don 2,Movie
"Kartik Aaryan, Divyendu Sharma, Raayo S. Bakhirta, Nushrat Bharucha, Sonalli Sehgall, Ishita Raj",India,5/1/2017,Matters of the heart introduce chaos into the once-idyllic bachelor existence of three young men who share an apartment.,Luv Ranjan,149 min,"Comedies, Dramas, International Movies",TV-14,2011,80165854,Pyaar Ka Punchnama,Movie
"Sachin Khedekar, Bharat Jadhav, Aniket Vishwasrao, Siddarth Jadhav, Sanjay Narvekar, Vaibhav Mangale, Santosh Juvekar, Sanjay Khapre, Mahesh Manjrekar",India,2/15/2018,"A young man enlists the help of his friends to avenge his uncle's death by taking on a powerful, unscrupulous politician.",Sanjay Jadhav,150 min,"Action & Adventure, Dramas, International Movies",TV-14,2011,80202087,Fakta Ladh Mhana,Movie
"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone, Prateik, Tanvi Azmi, Saurabh Shukla, Darshan Jariwala, Yashpal Sharma, Mukesh Tiwari",India,12/31/2019,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,Prakash Jha,164 min,"Dramas, International Movies",TV-14,2011,70211474,Aarakshan,Movie
Tom Papa,United States,12/31/2018,"Comedian Tom Papa riffs on the trials of married life, fatherhood in the 21st century, domestic pets and more in his stand-up show.",Rob Zombie,57 min,Stand-Up Comedy,TV-14,2011,70266169,Tom Papa Live in New York City,Movie
,United Kingdom,5/31/2017,"A filmmaker trains the camera on her own family as she examines the impact her grandfather, troubled artist Arshile Gorky, had on three generations.",Cosima Spender,80 min,Documentaries,TV-14,2011,80176144,Without Gorky,Movie
